step,in_sample_MSE,cv_MSE,RSE,R2,is_best,is_one_se
0,3492125008378.7007,3502236625657.3306,1872161.1435097558,0.0,False,False
1,2488861398180.657,2656198345191.2573,1581972.6242193459,0.2872931546811468,False,False
2,1867988197696.7175,1895404773109.6147,1371786.9990244939,0.46508553009562104,False,False
3,1590016789266.445,1613285980893.0337,1266782.999153698,0.5446850311911808,False,False
4,1461377519015.2986,1549970400418.6265,1215584.292547496,0.5815219914782556,False,False
5,1344791913773.926,1466342717478.6877,1167171.4554136093,0.6149072812263737,False,False
6,1269045618526.5247,1360749942605.318,1134879.4323914303,0.6365978836720658,False,False
7,1215114230171.748,1327786405203.1277,1111538.2438848705,0.6520416000984188,False,False
8,1175335908306.3135,1281955484413.5854,1094214.2403518036,0.6634324643343766,False,False
9,1144846558419.4148,1222682432294.1082,1080939.1934608947,0.6721633516347296,False,True
10,1127410778199.7993,1205370619995.3738,1073682.1619261652,0.677156237106407,False,False
11,1116718739499.3293,1191601648453.6594,1069582.6192372018,0.6802179942527912,False,False
12,1111518462879.14,1183929756935.5688,1068093.644960564,0.6817071381430335,True,False
13,1111187722284.4001,1194745277325.0605,1068941.7343361876,0.6818018485540142,False,False
